id,street,street_type,zip,address,latitude,longitude
2629,Pierce,St,94123,"2629 Pierce St, San Francisco, CA 94123, USA",37.794256,-122.438652
1135,Powell,St,94108,"1135 Powell St, San Francisco, CA 94108, USA",37.7953175,-122.40984
60,Navajo,Ave,94112,"60 Navajo Ave, San Francisco, CA 94112, USA",37.720284,-122.443847
1723,33rd,Ave,94122,"1723 33rd Ave, San Francisco, CA 94122, USA",37.75495,-122.491901
219,Bonview,St,94110,"219 Bonview St, San Francisco, CA 94110, USA",37.740446,-122.418359
4528,19th,St,94114,"4528 19th St, San Francisco, CA 94114, USA",37.759236,-122.439779
326,Prospect,Ave,94110,"326 Prospect Ave, San Francisco, CA 94110, USA",37.740959,-122.420634
217,10th,Ave,94118,"217 10th Ave, San Francisco, CA 94118, USA",37.784182,-122.469135
480,Funston,Ave,94118,"480 Funston Ave, San Francisco, CA 94118, USA",37.779187,-122.47134
609,16th,Ave,94118,"609 16th Ave, San Francisco, CA 94118, USA",37.77645,-122.475064
170,Andover,St,94110,"170 Andover St, San Francisco, CA 94110, USA",37.740746,-122.41657
641,4th,Ave,94118,"641 4th Ave, San Francisco, CA 94118, USA",37.7765324,-122.4618416
250,Fell,St,94102,"250 Fell St, San Francisco, CA 94102, USA",37.7760406,-122.4223706
20,Gambier,St,94134,"20 Gambier St, San Francisco, CA 94134, USA",37.728475,-122.422852
163,Peralta,Ave,94110,"163 Peralta Ave, San Francisco, CA 94110, USA",37.7470001,-122.408272
121,Stanyan,St,94118,"121 Stanyan St, San Francisco, CA 94118, USA",37.779425,-122.455871
1725,24th,Ave,94122,"1725 24th Ave, San Francisco, CA 94122, USA",37.755301,-122.482252
2212,19th,St,94107,"2212 19th St, San Francisco, CA 94107, USA",37.7608294,-122.404437
136,Stanyan,St,94118,"136 Stanyan St, San Francisco, CA 94118, USA",37.779089,-122.455194
3472,Pierce,St,94123,"3472 Pierce St, San Francisco, CA 94123, USA",37.802465,-122.439629
155,Alma,St,94117,"155 Alma St, San Francisco, CA 94117, USA",37.762875,-122.450344
164,South Park,Ave,94107,"164 S Park St, San Francisco, CA 94107, USA",37.781262,-122.394958
2079,46th,Ave,94116,"2079 46th Ave, San Francisco, CA 94116, USA",37.747771,-122.505372
400,40th,Ave,94121,"400 40th Ave, San Francisco, CA 94121, USA",37.781047,-122.500736
2646,22nd,Ave,94116,"2646 22nd Ave, San Francisco, CA 94116, USA",37.738294,-122.478253
543,2nd,St,94107,"543 2nd St, San Francisco, CA 94107, USA",37.7824732,-122.3928708
1257,Athens,St,94112,"1257 Athens St, San Francisco, CA 94112, USA",37.71197,-122.436835
915,York,St,94110,"915 York St, San Francisco, CA 94110, USA",37.7573092,-122.4086458
738,Andover,St,94110,"738 Andover St, San Francisco, CA 94110, USA",37.734171,-122.417115
891,47th,Ave,94121,"891 47th Ave, San Francisco, CA 94121, USA",37.7717,-122.50803
732,Vermont,St,94107,"732 Vermont St, San Francisco, CA 94107, USA",37.759802,-122.404344
2043,20th,Ave,94116,"2043 20th Ave, San Francisco, CA 94116, USA",37.749619,-122.477554
1629,Green,St,94123,"1629 Green St, San Francisco, CA 94123, USA",37.797056,-122.425958
1991,21st,Ave,94116,"1991 21st Ave, San Francisco, CA 94116, USA",37.750617,-122.478654
445,Liberty,St,94114,"445 Liberty St, San Francisco, CA 94114, USA",37.756847,-122.431263
642,Brussels,St,94134,"642 Brussels St, San Francisco, CA 94134, USA",37.724073,-122.40465
15,Cook,St,94131,"15 Cook St, San Francisco, CA 94118, USA",37.783375,-122.452764
207,Girard,St,94134,"207 Girard St, San Francisco, CA 94134, USA",37.72966,-122.405256
1150,Naples,St,94112,"1150 Naples St, San Francisco, CA 94112, USA",37.712782,-122.437535
76,28th,St,94110,"76 28th St, San Francisco, CA 94110, USA",37.745727,-122.423794
48,Fountain,St,94114,"48 Fountain St, San Francisco, CA 94114, USA",37.750052,-122.44192
406,Teresita,Blvd,94127,"406 Teresita Blvd, San Francisco, CA 94127, USA",37.740529,-122.449304
1474,34th,Ave,94122,"1474 34th Ave, San Francisco, CA 94122, USA",37.75963,-122.492643
174,Laura,St,94112,"174 Laura St, San Francisco, CA 94112, USA",37.71156,-122.452157
1298,Treat,Ave,94110,"1298 Treat Ave, San Francisco, CA 94110, USA",37.7494226,-122.4126944
25,Godeus,St,94110,"25 Godeus St, San Francisco, CA 94110, USA",37.742647,-122.4212001
2041,Kirkham,St,94122,"2041 Kirkham St, San Francisco, CA 94122, USA",37.759357,-122.482915
2518,31st,Ave,94116,"2518 31st Ave, San Francisco, CA 94116, USA",37.740219,-122.48806
3645,Lawton,St,94122,"3645 Lawton St, San Francisco, CA 94122, USA",37.756666,-122.502228
663,21st,Ave,94121,"663 21st Ave, San Francisco, CA 94121, USA",37.775305,-122.480416
240,Shotwell,St,94110,"240 Shotwell St, San Francisco, CA 94110, USA",37.764723,-122.416581
4347,Cesar Chavez,St,94131,"4347 Cesar Chavez St, San Francisco, CA 94131, USA",37.74684,-122.437177
2538,15th,Ave,94127,"2538 15th Ave, San Francisco, CA 94127, USA",37.740627,-122.470832
38,Hearst,Ave,94131,"38 Hearst Ave, San Francisco, CA 94131, USA",37.730981,-122.43916
1487,McAllister,St,94115,"1487 McAllister St, San Francisco, CA 94115, USA",37.777812,-122.436357
902,Stockton,St,94108,"902 Stockton St, San Francisco, CA 94108, USA",37.7941367,-122.407945
319,Panorama,Dr,94131,"319 Panorama Dr, San Francisco, CA 94131, USA",37.749767,-122.45241
1135,Francisco,St,94109,"1135 Francisco St, San Francisco, CA 94109, USA",37.8033521,-122.4240625
9,Coso,Ave,94110,"9 Coso Ave, San Francisco, CA 94110, USA",37.746553,-122.417938
439,Moraga,St,94122,"439 Moraga St, San Francisco, CA 94122, USA",37.756259,-122.467552
645,Pacheco,St,94116,"645 Pacheco St, San Francisco, CA 94116, USA",37.750996,-122.467178
4171,24th,St,,"4171 24th St, San Francisco, CA 94114, USA",37.750964,-122.435539
447,Bright,St,94132,"447 Bright St, San Francisco, CA 94132, USA",37.7187855,-122.4635793
1648,12th,Ave,94122,"1648 12th Ave, San Francisco, CA 94122, USA",37.757399,-122.46874
351,16th,Ave,94118,"351 16th Ave, San Francisco, CA 94118, USA",37.781477,-122.475494
24,Lunado,Way,94127,"24 Lunado Way, San Francisco, CA 94127, USA",37.722158,-122.471232
855,Lincoln,Way,94122,"855 Lincoln Way, San Francisco, CA 94122, USA",37.765694,-122.467238
722,Madrid,St,94112,"722 Madrid St, San Francisco, CA 94112, USA",37.718233,-122.435706
2300,Polk,St,94109,"2300 Polk St, San Francisco, CA 94109, USA",37.7978673,-122.422177
2027,Lake,St,94118,"2027 Lake St, San Francisco, CA 94121, USA",37.7859365,-122.4813848
534,Madrid,St,94112,"534 Madrid St, San Francisco, CA 94112, USA",37.721166,-122.433492
249,Missouri,St,94107,"249 Missouri St, San Francisco, CA 94107, USA",37.7632181,-122.3965902
1480,Sutter,St,94109,"1480 Sutter St, San Francisco, CA 94109, USA",37.78743,-122.424751
38,Newman,St,94110,"38 Newman St, San Francisco, CA 94110, USA",37.737621,-122.418236
65,Maynard,St,94112,"65 Maynard St, San Francisco, CA 94112, USA",37.729462,-122.429106
3352,22nd,St,94110,"3352 22nd St, San Francisco, CA 94110, USA",37.755224,-122.4221615
282,Linden,St,94102,"282 Linden St, San Francisco, CA 94102, USA",37.776577,-122.422477
350,Hearst,Ave,94112,"350 Hearst Ave, San Francisco, CA 94112, USA",37.730954,-122.445484
1420,11th,Ave,94122,"1420 11th Ave, San Francisco, CA 94122, USA",37.76164,-122.467962
1406,Leavenworth,St,,"1406 Leavenworth St, San Francisco, CA 94109, USA",37.794103,-122.4163673
41,Parsons,St,94118,"41 Parsons St, San Francisco, CA 94118, USA",37.775052,-122.455633
1300,De Haro,St,94107,"1300 De Haro St, San Francisco, CA 94107, USA",37.753113,-122.400664
535,Page,St,94117,"535 Page St, San Francisco, CA 94117, USA",37.7732081,-122.4296287
